"No.","Time","Source","Destination","Protocol","Length","Info"
"1276","16.291006","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1277","16.291169","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1278","16.291265","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1279","16.291374","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1280","16.295874","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1281","16.296037","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1282","16.296037","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1283","16.296136","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1284","16.296136","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1285","16.296245","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1286","16.296348","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1287","16.297035","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1288","16.300946","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1289","16.301130","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1290","16.301225","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1291","16.301605","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1292","16.304970","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1293","16.305135","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1294","16.305240","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1295","16.305240","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1296","16.305533","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1297","16.307050","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1298","16.307050","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1299","16.307050","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1300","16.307050","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1301","16.307360","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1302","16.307360","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1303","16.307360","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1304","16.307553","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1305","16.307553","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1306","16.307662","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1307","16.307997","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1308","16.308414","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1309","16.315773","192.168.43.76","114.125.240.16","UDP","76","60893  >  443 Len=34"
"1310","16.364451","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1311","16.364617","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1312","16.364617","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1313","16.364713","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1314","16.364713","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1315","16.364861","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1316","16.364861","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
